IMG_,@Photos,DESCRIPTION,URL STRING,LINK,YEAR,TYPE,STATUS,TYPOLOGY_01,TYPOLOGY_02,REM?,,TEAM_01,TEAM_02,TEAM_03,TEAM_04,TEAM_05,TEAM_06,TEAM_07,TEAM_08,TEAM_09,TEAM_10,TEAM_11,TEAM_12,TEAM_13,TEAM_14,TEAM_15,TEAM_16,TEAM_17,TEAM_18,TEAM_19,TEAM_20,TEAM_21,TEAM_22,TEAM_23,TEAM_24,TEAM_25,TEAM_26,TEAM_27,TEAM_28,TEAM_29,TEAM_30,TEAM_31,TEAM_32,TEAM_33,TEAM_34,TEAM_35,TEAM_36,TEAM_37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\104.jpg,Cities On The Move,Cities-On-The-Move,oma.eu,1999,Project,Completed,Exhibition,,TRUE,,Ole Scheeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\105.jpg,Havas Siege Sociale,Havas-Siege-Sociale,oma.eu,1999,Project,Competition,Office,,TRUE,,Frans Blok,Hans Focketyn,Govert Gerritsen,Andreas Huhn,Ben Jacquemet,Emanuele Mattutini,Shohei Shigematsu,Ron Southwick,Beatrice Timm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\106.jpg,Moca Roma,Moca-Roma,oma.eu,1999,Project,Competition,Museum / Gallery,,TRUE,,Seong Lok Bae,Gary Bates,Robert Choeff,Donald van Dansik,Gianmaria Sforza Fogliani,Uwe Herlyn,Krystyan Keck,Matteo Poli,Fernando Romero,Barbara Wolff,Marco Zurn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\107.jpg,Philips,Philips,oma.eu,1999,Project,Competition,Masterplan,,TRUE,,Frans Blok,Bob Choeff,Pauline van Gulik,Matthias Hollwich,Jenny Jones,Krystyan Keck,Rombout Loman,Kristina Manis,Natasha Sandmeier,Erik Schotte,Oliver Schütte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\108.jpg,Astor Place Hotel,Astor-Place-Hotel,oma.eu,2000,Project,Commissioned Study,Hotel,,TRUE,,Dan Wood,Hans Focketyn,Alain Fouraux,David Moore,Fenna Haakma Wagenaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\109.jpg,Barcelona Airport Terminal,Barcelona-Airport-Terminal,oma.eu,2000,Project,Competition,Infrastructure,,TRUE,,Alain Fouraux,Reinierde Graaf,Carolien Ligtenberg,Paz Martin,Shohei Shigematsu,Johan De Wachter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\110.jpg,Breda Chassé Campus,Breda-Chassé-Campus,oma.eu,2000,Project,Completed,Masterplan,,TRUE,,Piet Eckert,Udo Garritzmann,Govert Gerritsen,Xaveer de Geyter,Christina Machynia,Michel Melenhorst,Sanna Schuiling,Enno Stemerdink,Catherine Thiebaut,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\111.jpg,Brooklyn Academy of Music,Brooklyn-Academy-of-Music,oma.eu,2000,Project,Commissioned Study,Mixed use,,TRUE,,Dan Wood,Eric Chang,Matthias Hollwich,Thorsten Kiefer,Casey Mack,Will Prince,Julien De Smedt,Sybille Wälty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\112.jpg,Downsview Park,Downsview-Park,oma.eu,2000,Project,Competition,Masterplan,,TRUE,,Kent Aggus,Petra Blaisse,Simon Chan,Henry Cheung,Jason Halter,Jeffrey Inaba,Louis-Charles Lasnier,Michelle Lavigne,Donald Mak,Anita Matusevics,Bruce Mau,Maris Mezulis,Riki Nishimura,David Oleson,Shadi Rahbaran,Amanda Sebris,David Wilkinson,Howard Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\113.jpg,Prada Epicenter San Francisco,Prada-Epicenter-San-Francisco,oma.eu,2000,Project,Commissioned Study,Retail,,TRUE,,Kelly Ishida,Hilary Sample,Christina Beaumont,Evan Bennet,Chris van Duijn,Laszlo Fecske,Joao Ferrao,Alain Fouraux,Jens Hommert,Antti Lassila,Kees Lemmens,Kit Lewis,Karolina Machalica,Jao Costa Ribeiro,Pim van Wylick,Yumiko Yamada,Hiroshi Yoshino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\114.jpg,Taschen House,Taschen-House,oma.eu,2000,Project,Commissioned Study,Residential,,TRUE,,Dorte Boeressen,Jeffrey Inaba,Shiro Ogata,Henning Stüben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\115.jpg,The Distributed House,The-Distributed-House,oma.eu,2000,Project,Commissioned Study,Residential,,TRUE,,Andreas Huhn,Jeffrey Johnson,Olga Aleksakova,Catarina Canas,Thomas Duda,Chris van Duijn,Sharon Goren,Thorsten Kiefer,Will Prince,Karen Shanski,Shohei Shigematsu,Pim van Wylick,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\116.jpg,Caltrans District 7 HQ,Caltrans-District-7-HQ,oma.eu,2001,Project,Competition,Office,,TRUE,,Amale Andraos,Fernando Donis,Reinier de Graaf,Ellen van Loon,Joshua Ramus,Saskia Simon,Johan De Wachter,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\117.jpg,Flick House,Flick-House,oma.eu,2001,Project,Commissioned Study,Museum / Gallery,,TRUE,,Olga Aleksakova,Paul Burgstaller,Stephan Derveaux,Melissa Dowler,Stan van den Driesche,Thomas Duda,Jens Holm,Tim O'Callaghan,Katy Parsa,Florian Speier,Sygil Walty,Erik Schotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\118.jpg,Fondation Pinault,Fondation-Pinault,oma.eu,2001,Project,Competition,Museum / Gallery,,TRUE,,Meghan Corwin,Toma Damish,Claudia Dische,Fernando Donis,Reinier de Graaf,Beatriz Izquierdo,Alex de Jong,Thorsten Kiefer,Cornelia Locke,Paz Martin,Julien Monfort,David Moore,Shiro Ogata,Roberto Otero,Katayoun Parssanedjah,Matthieu Puyaubreau,Saskia Simon,Johan de Wachter,Fenna Haakma Wagenaar,Sybille Wälty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\119.jpg,Harvard,Harvard,oma.eu,2001,Project,Commissioned Study,Masterplan,,TRUE,,Lucia Allais,Alice Chung,Jeffrey Inaba,Steven Lee,John McMorrough,Kate Orff,Michael Rock,Nathaniel Slayton,Hunter Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\120.jpg,Hermitage Guggenheim,Hermitage-Guggenheim,oma.eu,2001,Project,Demolished,Museum / Gallery,,TRUE,,Christian Bandi,Lotte Adolf,Bina Bhattacharya,Alexandra Bub,Brandon Cook,Mark Frohn,Christian Kronaus,Peter Müller,Sebastian Reusch,Natasha Sandmeier,Sybille Wälty,Mark Watanabe,Victoria Willocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\121.jpg,Lacma Extension,Lacma-Extension,oma.eu,2001,Project,Competition,Museum / Gallery,,TRUE,,Christian Bandi,Saskia Simon,Charles Berman,Gabriela Bojalil,Selva Gurdogan,Jens Hommert,Stuart Maddocks,Shiro Ogata,Torsten Schröder,Carol Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\122.jpg,"Mutations, Actar",Mutations,oma.eu,2001,Publication,Publication,N/A,,TRUE,,Stefano Boeri,Sanford Kwinter, Daniela Fabricius,Hans Ulrich Obrist,Nadia Tazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\123.jpg,Prada Epicenter New York,Prada-Epicenter-New-York,oma.eu,2001,Project,Completed,Retail,,TRUE,,Tim Archambault,Eric Chang,Ergian Alberg,Amale Andraos,Benjamin Beckers,Christina Chang,Chris van Duijn,Alain Fouraux,Jennifer Jones,Julia Lewis,Christiane Sauer,Markus Schaefer,Oliver von Spreckelsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\124.jpg,Prins Clausplein,Prins-Clausplein,oma.eu,2001,Project,Commissioned Study,Masterplan,,TRUE,,Floris Alkemade,Stefan Bendiks,Catarina Canas,Bart Cardinaal,Claudia Dische,Reinier de Graaf,Alex de Jong,Jan Knikker,Carolien Ligtenberg,Matthieu Puyaubreau,Orri Steinarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\125.jpg,"Project on the City I: Great Leap Forward, Taschen",Project-on-the-City-I-Great-Leap-Forward,oma.eu,2001,Publication,Publication,N/A,,TRUE,,Christopher Chew,Megan Feehan,Salomon Frausto,Lauren Neefe,Cathy Lang Ho,Qingyun Ma,Sze Tsung Leong,Alice Chung,Sze Tsung Leong,Jeffrey Inaba,	Chuihua Judy Chung,Rem Koolhaas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\126.jpg,"Project on the City II: The Harvard Guide to Shopping, Taschen",Project-on-the-City-II-The-Harvard-Guide-to-Shopping,oma.eu,2001,Publication,Publication,N/A,,TRUE,,Chuihua Judy Chung,Sze Tsung Leong,Adam Wiseman,Sze Lei Leong,Michael Kubo,Eleanor Chung,Alicia Kennedy,Jeffrey Inaba,Rem Koolhaas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\127.jpg,"Projects for Prada: Part 1, Fondazione Prada Edizioni",Projects-for-Prada-Part-1-Fondazione-Prada-Edizioni,oma.eu,2001,Publication,Publication,N/A,,TRUE,,Jens Hommert,Michael Kubo,Rem Koolhaas,Fondazione Prada Edizioni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\128.jpg,UN City,UN-City,oma.eu,2001,Project,Competition,Masterplan,,TRUE,,Dan Wood,Amale Andraos,Alisa Andrasek,Evan Bennet,Meghan Corwin,Erez Ella,Shohei Shigematsu,Henning Stüben,Yumiko Yamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\129.jpg,Union Station,Union-Station,oma.eu,2001,Project,Competition,Masterplan,,TRUE,,Floris Alkemade,Catarina Canas,Brandon Cook,Govert Gerritsen,Sarah Gibson,Jens Holm,Anja Kalusche,Roberto Otero,Will Prince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\130.jpg,Whitney Museum Extension,Whitney-Museum-Extension,oma.eu,2001,Project,Commissioned Study,Museum / Gallery,,TRUE,,Carol Patterson,Olga Aleksakova,Ali Arvanaghi,Brandon Cook,Markus Dettling,Erez Ella,Marissa Fort,Alain Fouraux,Sarah Gibson,Laura Gilmore,Caya Loeper,John McMorrough,Shiro Ogata,Natasha Sandmeier,Tuomas Toivonen,Fenna Haakma Wagenaar,Sybille Wälty,Yumiko Yamada,Shohei Shigematsu,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\131.jpg,Amo Atlas,Amo-Atlas,oma.eu,2002,Project,Study,Research,,FALSE,,Theo Deutinger,Brendan McGetrick,Nanne de Ru,Markus Schaefer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\132.jpg,Breda Chassé Parking,Breda-Chassé-Parking,oma.eu,2002,Project,Completed,Infrastructure,,TRUE,,Govert Gerritsen,Bart Cardinaal,Bob Choeff,Richard Eelman,Udo Garritzmann,Ana Almeida Jacinto,Jenny Jones,Philip Koenen,Jan Kooijman,Rob de Maat,Michel Melenhorst,Oliver Schütte,Shohei Shigematsu,Enno Stemerdink,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\133.jpg,Cordoba Congress Centre,Cordoba-Congress-Centre,oma.eu,2002,Project,Construction,Theatre,,TRUE,,Catarina Canas,Fernando Donis,Thorsten Kiefer,Roberto Otero,Erik Schotte,Sybille Wälty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\134.jpg,Delta Metropool,Delta-Metropool,oma.eu,2002,Project,Commissioned Study,Masterplan,,TRUE,,Paz Martin,Johan de Wachter,Paul Burgstaller,Stephane Derveaux,Melissa Dowler,Tim O'Callaghan,Orri Steinarsson,Gregers Tang Thomsen,Gerd Wetzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\135.jpg,Guangzhou Opera House,Guangzhou-Opera-House,oma.eu,2002,Project,Competition,Theatre,,TRUE,,Gabriela Bojalil,Fernando Donis,Erez Ella,Selva Gurdogan,Kerem Piker,Victoria Stewart,Gregers Tang Thomsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\136.jpg,Hollocore Ruhrgebiet,Hollocore-Ruhrgebiet,oma.eu,2002,Project,Commissioned Study,Research,,TRUE,,Daniel Dendra,Mamen Escorihuela,Markus Schaefer,Theo Deutinger,Nanne de Ru,Kerstin Vogel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\137.jpg,Koningin Julianaplein,Koningin-Julianaplein,oma.eu,2002,Project,Competition,Residential,,TRUE,,Gabriela Bojalil,Paz Martin,Hiromasa Shirai,Patrick Bruhn,Jan Roters,Michael Smith,Erez Ella,Erik Schotte,Johan De Wachter,Sarah Gibson,Shohei Shigematsu,Katrien van Dijk,Ralph van Mameren,Caroline Andersen,Mariano Sagasta Garcia,Chris Mosiadz,Chantal Aquilina,Katharina Gerlach,Daan Ooievaar,Joshua Beck,Boris Girin,Se Yoon Park,Giannantonio Bongiorno,Alasdair Graham,Ferdjan van der Pijl,Matthew Brown,Elena Hristova,Soojung Rhee,Kees van Casteren,Klaas Kresse,Bart Schoonderbeek,Joseph Chartouni,Marcos Zotes Lopez,Ziad Shehab,Joao Bravo da Costa,Rob de Maat,Cristian Suau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\138.jpg,Lehmann Maupin Gallery – New York,Lehmann-Maupin-Gallery-–-New-York,oma.eu,2002,Project,Completed,Museum / Gallery,,TRUE,,Tim Archambault,Jeffrey Johnson,Amale Andraos,Eric Chang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\139.jpg,Multi Media Building,Multi-Media-Building,oma.eu,2002,Project,Competition,Mixed use,,TRUE,,David Gorin,Ellen van Loon,Ole Scheeren,Guillaume Colboc,Tammo Prinz,Gregers Tang Thomsen,Roberto Otero,Hiromasa Shirai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\140.jpg,Nato,Nato,oma.eu,2002,Project,Competition,Office,,TRUE,,Erez Ella,Nicolas Firket,Alain Fouraux,Sarah Gibson,Matthew Logan Murphy,Roberto Otero,Carol Patterson,Tammo Prinz,Shohei Shigematsu,Fenna Haakma Wagenaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\141.jpg,Prada in Store Technology,Prada-in-Store-Technology,oma.eu,2002,Project,Completed,Research,,TRUE,,Markus Schaefer,Dan Wood,Gergely Agoston,Lucia Allais,Stefan Bendiks,Joakim Dahlqvist,Laszlo Fecske,Jens Hommert,Reed Kram,Michael Kubo,Samuel Spitzer,Francesco Tiribelli,Victoria Willocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\142.jpg,Prada Sponge,Prada-Sponge,oma.eu,2002,Project,Commissioned Study,Research,,TRUE,,Eric Chang,Chris van Duijn,Ole Scheeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\143.jpg,Ascot Residence,Ascot-Residence,oma.eu,2003,Project,Competition,Residential,,TRUE,,Olga Aleksakova,George Bucher,Paz Martin,Florian Pucher,Sebastian Thomas,Johan de Wachter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\144.jpg,Beijing Books Building,Beijing-Books-Building,oma.eu,2003,Project,Competition,Retail,,TRUE,,Eric Chang,Katrin Betschinger,Tiago Branco-Sampaio,George Bucher,Kees van Casteren,Dan Cheong,Hugo Clara,Haiko Cornelissen,Fernando Donis,Keru Feng,Alain Fouraux,Selva Gurdogan,Michelle Liu,Xiaodong Liu,Ellen van Loon,Jeff Ludlow,Miho Mazereeuw,Cristina Cassandra Murphy,Nuno Rosado,Oriol Hostench Ruiz,Hiromasa Shirai,Sebastian Thomas,Gregers Tang Thomsen,Boris Vapne,Finn Williams,Dongmei Yao,Camia Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\145.jpg,Beijing Central Business District,Beijing-Central-Business-District,oma.eu,2003,Project,Competition,Masterplan,,TRUE,,Christian Bandi,George Bucher,Paul Burgstaller,Jin Chong,Theo Deutinger,Fernando Donis,Teran Evans,Teman Evans,Emilie Gomart,Selva Gurdogan,James Harper,Peter Knutson,Mee Michelle Liu,Florian Pucher,Nanne de Ru,Gregers Tang Thomsen,Victoria Willocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\146.jpg,Beijing Preservation,Beijing-Preservation,oma.eu,2003,Project,Competition,Retail,,TRUE,,Eric Chang,Katrin Betschinger,Tiago Branco-Sampaio,George Bucher,Kees van Casteren,Dan Cheong,Hugo Clara,Haiko Cornelissen,Fernando Donis,Keru Feng,Alain Fouraux,Selva Gurdogan,Michelle Liu,Xiaodong Liu,Ellen van Loon,Jeff Ludlow,Miho Mazereeuw,Cristina Cassandra Murphy,Nuno Rosado,Oriol Hostench Ruiz,Hiromasa Shirai,Sebastian Thomas,Gregers Tang Thomsen,Boris Vapne,Finn Williams,Dongmei Yao,Camia Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\147.jpg,Breda Carré Building,Breda-Carré-Building,oma.eu,2003,Project,Completed,Residential,,TRUE,,Richard Eelman,Govert Gerritsen,Reinier de Graaf,Jan Kooijman,Rob de Maat,Michel Melenhorst,Fernando Romero,Jeroen Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\148.jpg,Content,Content,oma.eu,2003,Project,Completed,Exhibition,,TRUE,,Jens Hommert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\149.jpg,European Central Bank,European-Central-Bank,oma.eu,2003,Project,Competition,Office,,TRUE,,Olga Aleksakova,George Bucher,George Bucher,Rodrigo Nunèz Carrasco,Roberto Otero,Sebastian Thomas,Daniela Zimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\150.jpg,Het Paard van Troje,Het-Paard-van-Troje,oma.eu,2003,Project,Completed,Theatre,,TRUE,,Frans Blok,Bart Cardinaal,Rob Hilz,Jan Kooijman,Christos Marcopoulos,Fokke Moerel,Don Weber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
